번호,우선순위,업체명,카테고리,홈페이지,대표전화,이메일,문의채널,소재지,주요취급품목,중국자체소싱망,선정이유,출처URL
1,상,(주)비투비앤씨,회수 대상(前 파트너 거래처),https://btobnc.co.kr/,02-745-9650,btobnc@daum.net,담당: 이병호 (휴대폰은 대표님 보유 메일 서명 참조),서울 금천구 가산동(대성디폴리스 B동 1806호),"판촉물·굿즈 벤더(추정), 세부 품목 확인 필요 / 공개정보: B2B 소싱 플랫폼 기업. 기업 대상 굿즈·PB(자체브랜드)·판촉물(PGI) 기획/개발/소싱 컨설팅, 시즌별 판촉 사은품 디자인·제조, BtoE(임직원몰) 기획·운영. 2008년 6월 설립, 소기업(2023년 매출 약 127.9억, 직원 7명). 팩스 02-745-9649, 사업자번호 101-86-40347.",약함(前 파트너 함석민을 통해 중국 생산 진행하던 거래처),"리자위와 결별한 前 파트너(함석민)가 응대하던 거래처로, 리자위 쪽 생산 실적을 근거로 직접 회수 가능.",함석민 경유 메일 서명(2024) ; https://btobnc.co.kr/contact ; https://www.jobplanet.co.kr/companies/154239/landing/%EB%B9%84%ED%88%AC%EB%B9%84%EC%95%A4%EC%94%A8 ; https://www.jobkorea.co.kr/recruit/co_read/c/choish73
2,상,스펙트럼비즈,회수 대상(前 파트너 거래처),,,spbiz1@hanmail.net,담당: 김상현 대표 / 메일 회신 이력 있음(2024.02 클립펜·온습도계 건),,"소량 판촉물(클립펜 2종 각 500개, 온습도계 500개, 팬톤 컬러 인쇄) / 공개정보: 검색상 (주)스펙트럼비즈(매장광고 POSM, LED 라이트패널 Wtalk)가 있으나 동일 회사인지 미확인",약함(前 파트너 함석민을 통해 중국 생산 진행하던 거래처),500개 단위 소량 판촉물을 중국 생산하던 거래처. 소량·팬톤 인쇄 대응 가능함을 강조하면 회수 가능성 높음.,함석민 경유 메일(2024.02.27) ; http://www.04uk.com/bbs/board.php?bo_table=03&wr_id=34299 ; https://rainbowdeco.com/contact ; https://abnexo.gobizkorea.com/user/goods/frontGoodsDetail.do?goods_no=GS2021101807985
3,상,지티비(GTB),회수 대상(前 파트너 거래처),,,gtb111@daum.net,메일 회신 이력 있음(2023.11 오스템임플란트 캐릭터 굿즈 건),,기업 캐릭터 굿즈 제작 중개(오스템임플란트 브랜드디자인팀 발주 → 중국 생산),약함(前 파트너 함석민을 통해 중국 생산 진행하던 거래처),오스템임플란트 같은 대기업 디자인팀 발주를 받아 생산처에 넘기는 전형적 벤더. 캐릭터 굿즈 반복 물량 기대.,함석민 경유 메일(2023.11.10)
4,상,"하나라인(hanaLine Co., Ltd.)",회수 대상(前 파트너 거래처),,02-929-6060,,담당: 양경호 Director / Fax 02-929-6092,서울 동대문구 용두동,"판촉물·봉제·인쇄 벤더(추정), 세부 품목 확인 필요",약함(前 파트너 함석민을 통해 중국 생산 진행하던 거래처),동대문 소재 벤더로 前 파트너 경유 물량이 있었던 곳. 회사 대표번호가 확보돼 있어 바로 전화 가능.,함석민 경유 메일 서명(2024)
5,중,"강정호(회사명 미확인, SSGP 박스 건)",회수 대상(前 파트너 거래처),,,scott7015@naver.com,메일 회신 이력 있음(2024.02 SSGP 패키지 박스 도면 건),,"브랜드 패키지 박스(SSGP PK outline ai/pdf 도면 전달) / 공개정보: SSGP는 화장품이 아니라 스테인리스(SUS304) 주방 조리도구 브랜드. 국내 온라인몰(SSG.COM/신세계몰, 한샘몰, YES24, 옥션, 다나와, 체어마트, 케이트왈츠 등)에서 '독일 SSGP 스텐 조리도구'로 표기되어 판매됨(스텐 머그/드럼컵, 국자, 집게, 거품기, 채반, 티망, 셰프나이프, 계량컵 등). 국내에서 SSGP 제품을 판매하는 업체로 (주)애플박스(경기 파주시 탄현면 검산로361번길 64, 031-8071-0707, 사업자 388-87-00648)와 (주)호민상사(대구 달서구, 사업자 530-87-02140)가 확인되나 공식 수입원/브랜드 소유 회사는 미확인. 해외 도매사이트(sunsky-online)에서도 SSGP 제품이 유통되어 실제 원산지/브랜드 본사는 검색으로 확정되지 않음.",약함(前 파트너 함석민을 통해 중국 생산 진행하던 거래처),패키징 박스 중국 생산 건을 넘기던 발주자. 회사명·역할(브랜드 담당자인지 중개 벤더인지) 확인 후 접근.,함석민 경유 메일(2024.02.21) ; https://www.yes24.com/Product/Goods/97782001 ; https://store.hanssem.com/goods/821760 ; http://chairmart.co.kr/category/%EB%AA%85%ED%92%88%EC%A3%BC%EB%B0%A9-ssgp/1006/ ; https://katewaltz.co.kr/category/ssgp/209/ ; https://www.ssg.com/search.ssg?query=ssgp%EC%8A%A4%ED%85%90
6,상,바잇미((주)바잇미),OEM 온라인브랜드·패키징,https://www.biteme.co.kr,070-4188-1824,,https://www.bizbite.me/ (B2B 사업자전용몰),서울 강남구,"반려동물 장난감·의류·용품(자체 브랜드), B2B 도매·해외판매","불명(자체 공장 언급 없음, 자체 브랜드 기획·판매 중심)",자체 브랜드 반려용품을 기획하고 B2B·글로벌까지 유통하는 업체로 중국 OEM 제조 파트너가 필요한 구조다.,https://www.bizbite.me/
7,상,박스마스터,OEM 온라인브랜드·패키징,https://boxmaster.co.kr,1877-8830,service@boxmaster.co.kr,https://boxmaster.co.kr/whatbm/location,서울,"브랜드 패키지 박스 제작, 맞춤 패키지 컨설팅","약함(국내 패키지 컨설팅·제조 중심, 중국 소싱망 언급 없음)",패키지 컨설팅형 업체로 특수 사양 박스·부자재를 중국에서 조달할 외부 파트너가 필요할 수 있다.,https://boxmaster.co.kr/whatbm/location
8,상,박스컴퍼니,OEM 온라인브랜드·패키징,https://www.boxcompany.co.kr,02-452-8887,boxcompany7@naver.com,https://boxcompany.co.kr/contact,서울,소량(100개~) 커스텀 패키지 박스 제작,"약함(국내 소량 제작 중심, 중국 소싱망 언급 없음)",소량 커스텀 박스 업체로 대량 주문이나 파우치·쇼핑백 등 특수 패키지는 중국 소싱이 필요할 수 있다.,https://boxcompany.co.kr/contact
9,상,생활공작소((주)생활공작소),OEM 온라인브랜드·패키징,https://www.saengong.com,,,"https://m.gmarket.co.kr/n/minishop/livingcrafts/sellerinfo / 개인 메일로 보여 제외, 대표 메일 확인 필요",서울 영등포구,"세제·비누·제습제 등 생활용품, 잡화, 반려동물용품","불명(자체 공장 언급 없음, 기획·브랜딩 중심 생활용품 브랜드)",생활용품·잡화 다품종을 외주 생산으로 전개하는 대표적 온라인 브랜드로 중국 OEM 소싱 파트너 수요가 있다.,https://m.gmarket.co.kr/n/minishop/livingcrafts/sellerinfo
10,상,패커티브,OEM 온라인브랜드·패키징,https://packative.com,,hello@packative.com,https://packative.com/en/custom-quotation,서울 영등포구,맞춤 패키지 박스 온라인 주문제작(AI 실시간 견적·3D 미리보기),"약함(국내 온라인 박스 제작 플랫폼, 중국 소싱망 언급 없음)",온라인 박스 제작 플랫폼으로 쇼핑백·파우치 등 품목 확장 시 중국 생산 파트너가 필요할 수 있다.,https://help.packative.com/
